,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
48,2020-01-01T10:35:02.000000000Z,0,2020-01-28T21:35:02.000000000Z,11,2020-02-04T21:35:02.000000000Z,2,2020-01-01T10:35:02.000000000Z,0,2020-01-03T14:15:02.000000000Z,4,2020-01-05T18:55:02.000000000Z,6,2020-01-01T10:25:02.000000000Z,0,2020-01-01T10:30:02.000000000Z,0,2020-01-01T10:35:02.000000000Z,0,2020-02-18T21:35:02.000000000Z
49,2020-01-01T10:40:27.000000000Z,0,2020-01-28T21:40:02.000000000Z,11,2020-02-04T21:40:02.000000000Z,2,2020-01-01T10:40:27.000000000Z,0,2020-01-03T14:20:02.000000000Z,4,2020-01-05T19:00:02.000000000Z,6,2020-01-01T10:30:02.000000000Z,0,2020-01-01T10:35:02.000000000Z,0,2020-01-01T10:40:27.000000000Z,0,2020-02-18T21:40:02.000000000Z
50,2020-01-01T10:45:02.000000000Z,0,2020-01-28T21:45:02.000000000Z,11,2020-02-04T21:45:02.000000000Z,2,2020-01-01T10:45:02.000000000Z,0,2020-01-03T14:25:02.000000000Z,4,2020-01-05T19:05:02.000000000Z,6,2020-01-01T10:35:02.000000000Z,0,2020-01-01T10:40:27.000000000Z,0,2020-01-01T10:45:02.000000000Z,0,2020-02-18T21:45:02.000000000Z
51,2020-01-01T10:50:02.000000000Z,0,2020-01-28T21:50:02.000000000Z,11,2020-02-04T21:50:02.000000000Z,2,2020-01-01T10:50:02.000000000Z,0,2020-01-03T14:30:02.000000000Z,4,2020-01-05T19:10:02.000000000Z,6,2020-01-01T10:40:27.000000000Z,0,2020-01-01T10:45:02.000000000Z,0,2020-01-01T10:50:02.000000000Z,0,2020-02-18T21:50:02.000000000Z
52,2020-01-01T10:55:02.000000000Z,0,2020-01-28T21:55:02.000000000Z,11,2020-02-04T21:55:02.000000000Z,2,2020-01-01T10:55:02.000000000Z,0,2020-01-03T14:35:02.000000000Z,4,2020-01-05T19:15:02.000000000Z,6,2020-01-01T10:45:02.000000000Z,0,2020-01-01T10:50:02.000000000Z,0,2020-01-01T10:55:02.000000000Z,0,2020-02-18T21:55:02.000000000Z
53,2020-01-01T11:00:02.000000000Z,0,2020-01-28T22:00:02.000000000Z,11,2020-02-04T22:00:02.000000000Z,2,2020-01-01T11:00:02.000000000Z,0,2020-01-03T14:40:02.000000000Z,4,2020-01-05T19:20:02.000000000Z,6,2020-01-01T10:50:02.000000000Z,0,2020-01-01T10:55:02.000000000Z,0,2020-01-01T11:00:02.000000000Z,0,2020-02-18T22:00:02.000000000Z
54,2020-01-01T11:05:02.000000000Z,0,2020-01-28T22:05:02.000000000Z,11,2020-02-04T22:05:02.000000000Z,2,2020-01-01T11:05:02.000000000Z,0,2020-01-03T14:45:02.000000000Z,4,2020-01-05T19:25:02.000000000Z,6,2020-01-01T10:55:02.000000000Z,0,2020-01-01T11:00:02.000000000Z,0,2020-01-01T11:05:02.000000000Z,0,2020-02-18T22:05:02.000000000Z
55,2020-01-01T11:10:02.000000000Z,0,2020-01-28T22:10:02.000000000Z,11,2020-02-04T22:10:02.000000000Z,2,2020-01-01T11:10:02.000000000Z,0,2020-01-03T14:50:02.000000000Z,4,2020-01-05T19:30:02.000000000Z,6,2020-01-01T11:00:02.000000000Z,0,2020-01-01T11:05:02.000000000Z,0,2020-01-01T11:10:02.000000000Z,0,2020-02-18T22:10:02.000000000Z
56,2020-01-01T11:15:03.000000000Z,0,2020-01-28T22:15:02.000000000Z,11,2020-02-04T22:15:02.000000000Z,2,2020-01-01T11:15:03.000000000Z,0,2020-01-03T14:55:02.000000000Z,4,2020-01-05T19:35:02.000000000Z,6,2020-01-01T11:05:02.000000000Z,0,2020-01-01T11:10:02.000000000Z,0,2020-01-01T11:15:03.000000000Z,0,2020-02-18T22:15:03.000000000Z
57,2020-01-01T11:20:02.000000000Z,0,2020-01-28T22:20:02.000000000Z,11,2020-02-04T22:20:02.000000000Z,2,2020-01-01T11:20:02.000000000Z,0,2020-01-03T15:00:03.000000000Z,4,2020-01-05T19:40:02.000000000Z,6,2020-01-01T11:10:02.000000000Z,0,2020-01-01T11:15:03.000000000Z,0,2020-01-01T11:20:02.000000000Z,0,2020-02-18T22:20:02.000000000Z
58,2020-01-01T11:25:02.000000000Z,0,2020-01-28T22:25:02.000000000Z,11,2020-02-04T22:25:02.000000000Z,2,2020-01-01T11:25:02.000000000Z,0,2020-01-03T15:05:02.000000000Z,4,2020-01-05T19:45:02.000000000Z,6,2020-01-01T11:15:03.000000000Z,0,2020-01-01T11:20:02.000000000Z,0,2020-01-01T11:25:02.000000000Z,0,2020-02-18T22:25:02.000000000Z
59,2020-01-01T11:30:02.000000000Z,0,2020-01-28T22:30:02.000000000Z,11,2020-02-04T22:30:02.000000000Z,2,2020-01-01T11:30:02.000000000Z,0,2020-01-03T15:10:02.000000000Z,4,2020-01-05T19:50:02.000000000Z,6,2020-01-01T11:20:02.000000000Z,0,2020-01-01T11:25:02.000000000Z,0,2020-01-01T11:30:02.000000000Z,0,2020-02-18T22:30:02.000000000Z
60,2020-01-01T11:35:02.000000000Z,0,2020-01-28T22:35:02.000000000Z,11,2020-02-04T22:35:02.000000000Z,2,2020-01-01T11:35:02.000000000Z,0,2020-01-03T15:15:02.000000000Z,4,2020-01-05T19:55:02.000000000Z,6,2020-01-01T11:25:02.000000000Z,0,2020-01-01T11:30:02.000000000Z,0,2020-01-01T11:35:02.000000000Z,0,2020-02-18T22:35:02.000000000Z
61,2020-01-01T11:40:02.000000000Z,0,2020-01-28T22:40:02.000000000Z,11,2020-02-04T22:40:02.000000000Z,2,2020-01-01T11:40:02.000000000Z,0,2020-01-03T15:20:02.000000000Z,4,2020-01-05T20:00:02.000000000Z,6,2020-01-01T11:30:02.000000000Z,0,2020-01-01T11:35:02.000000000Z,0,2020-01-01T11:40:02.000000000Z,0,2020-02-18T22:40:02.000000000Z
62,2020-01-01T11:45:02.000000000Z,0,2020-01-28T22:45:02.000000000Z,12,2020-02-04T22:45:02.000000000Z,2,2020-01-01T11:45:02.000000000Z,0,2020-01-03T15:25:02.000000000Z,4,2020-01-05T20:05:02.000000000Z,6,2020-01-01T11:35:02.000000000Z,0,2020-01-01T11:40:02.000000000Z,0,2020-01-01T11:45:02.000000000Z,0,2020-02-18T22:45:02.000000000Z
63,2020-01-01T11:50:02.000000000Z,1,2020-01-28T22:50:02.000000000Z,12,2020-02-04T22:50:02.000000000Z,2,2020-01-01T11:50:02.000000000Z,1,2020-01-03T15:30:02.000000000Z,5,2020-01-05T20:10:02.000000000Z,6,2020-01-01T11:40:02.000000000Z,0,2020-01-01T11:45:02.000000000Z,0,2020-01-01T11:50:02.000000000Z,1,2020-02-18T22:50:02.000000000Z
64,2020-01-01T11:55:02.000000000Z,2,2020-01-28T22:55:02.000000000Z,12,2020-02-04T22:55:02.000000000Z,2,2020-01-01T11:55:02.000000000Z,2,2020-01-03T15:35:02.000000000Z,6,2020-01-05T20:15:02.000000000Z,7,2020-01-01T11:45:02.000000000Z,0,2020-01-01T11:50:02.000000000Z,1,2020-01-01T11:55:02.000000000Z,2,2020-02-18T22:55:02.000000000Z
